RU;81;1315;TransparentCalls;0.61;157;77;47
US;58;1539;E-Voice;0.77;282;2;32
GB;86;1462;TransparentCalls;0.63;468;20;35
FR;45;423;TransparentCalls;0.91;503;4;3
BL;38;1225;E-Voice;0.89;11;44;5
AT;20;590;TransparentCalls;0.85;321;48;45
BG;54;324;E-Voice;0.67;564;23;19
DK;95;1980;JustPhone;0.76;516;28;3
CA;96;319;JustPhone;0.84;873;13;41
ES2360E-Voice;0.84;58;75;46
CH;60;1333;JustPhone;0.70;477;17;45
TR;76;1917;TransparentCalls;0.64;847;11;39
PE;67;225;JustPhone;0.86;52;76;37
NZ;43;1874;JustPhone;0.61;21;11;46
MC;29;528;E-Voice;0.91;58;69;59
